Code,Country,Region,Continent,Geo_Categories
AE,UAE,Middle_East,Asia,Middle_East
AF,Afghanistan,Middle_East,Asia,Middle_East
AL,Albania,Southeastern_Europe,Europe,Europe
AT,Austria,Central_Europe,Europe,Europe
BA,Bosnia,Southeastern_Europe,Europe,Europe
BG,Bulgaria,Southeastern_Europe,Europe,Europe
BH,Bahrain,Middle_East,Asia,Middle_East
BY,Belarus,Eastern_Europe,Europe,Europe
CN,China,East_Asia,Asia,Asia
CO,Colombia,South_America,South_America,South_America
CY,Cyprus,Mediterranean,Europe,Europe
CZ,Czech,Central_Europe,Europe,Europe
DK,Denmark,Northwestern_Europe,Europe,Europe
EG,Egypt,Mediterranean,Europe,Europe
ER,Eritrea,Northeast_Africa,Africa,Africa
GH,Ghana,West_Africa,Africa,Africa
GW,Guinea-Bissau,West_Africa,Africa,Africa
HT,Haiti,North_America,North_America,North_America
ID,Indonesia,Southeast_Asia,Asia,Asia
IT,Italy,Mediterranean,Europe,Europe
JO,Jordan,Middle_East,Asia,Middle_East
KG,Krygyzstan,Central_Asia,Asia,Asia
KH,Cambodia,Southeast_Asia,Asia,Asia
KR,Korea,East_Asia,Asia,Asia
KZ,Kazakhstan,Central_Asia,Asia,Asia
LA,Lao,Southeast_Asia,Asia,Asia
LB,Lebanon,Middle_East,Asia,Middle_East
LK,SriLanka,South_Asia,Asia,Asia
MD,Moldova,Eastern_Europe,Europe,Europe
MK,Macedonia,Southeastern_Europe,Europe,Europe
MM,Myanmar,Southeast_Asia,Asia,Asia
MX,Mexico,North_America,North_America,North_America
MY,Malaysia,Southeast_Asia,Asia,Asia
NG,Nigeria,West_Africa,Africa,Africa
NP,Nepal,South_Asia,Asia,Asia
OM,Oman,Middle_East,Asia,Middle_East
PH,Philippines,Southeast_Asia,Asia,Asia
PL,Poland,Central_Europe,Europe,Europe
QA,Qatar,Middle_East,Asia,Middle_East
RO,Romania,Southeastern_Europe,Europe,Europe
RU,Russia,Eurasia,Eurasia,Eurasia
SA,SaudiArabia,Middle_East,Asia,Middle_East
SG,Singapore,Southeast_Asia,Asia,Asia
SN,Senegal,West_Africa,Africa,Africa
SY,Syria,Middle_East,Asia,Middle_East
TH,Thailand,Southeast_Asia,Asia,Asia
TR,Turkey,Eurasia,Eurasia,Eurasia
TT,Trinidad,South_America,South_America,South_America
TW,Taiwan,East_Asia,Asia,Asia
UA,Ukraine,Eastern_Europe,Europe,Europe
UG,Uganda,East_Africa,Africa,Africa
US,USA,North_America,North_America,North_America
UZ,Uzbekistan,Central_Asia,Asia,Asia
ZA,SouthAfrica,South_Africa,Africa,Africa
ZZ,Unknown,Unknown,Unknown,Unknown
